Cycle,Date
1,2008/07/12
2,2008/07/21
3,2008/07/31
4,2008/08/10
5,2008/08/20
6,2008/08/30
7,2008/09/09
8,2008/09/19
9,2008/09/29
10,2008/10/09
11,2008/10/19
12,2008/10/29
13,2008/11/08
14,2008/11/17
15,2008/11/27
16,2008/12/07
17,2008/12/17
18,2008/12/27
19,2009/01/06
20,2009/01/16
21,2009/01/26
22,2009/02/05
23,2009/02/15
24,2009/02/25
25,2009/03/07
26,2009/03/16
27,2009/03/26
28,2009/04/05
29,2009/04/15
30,2009/04/25
31,2009/05/05
32,2009/05/15
33,2009/05/25
34,2009/06/04
35,2009/06/14
36,2009/06/24
37,2009/07/04
38,2009/07/13
39,2009/07/23
40,2009/08/02
41,2009/08/12
42,2009/08/22
43,2009/09/01
44,2009/09/11
45,2009/09/21
46,2009/10/01
47,2009/10/11
48,2009/10/21
49,2009/10/31
50,2009/11/09
51,2009/11/19
52,2009/11/29
53,2009/12/09
54,2009/12/19
55,2009/12/29
56,2010/01/08
57,2010/01/18
58,2010/01/28
59,2010/02/07
60,2010/02/17
61,2010/02/26
62,2010/03/08
63,2010/03/18
64,2010/03/28
65,2010/04/07
66,2010/04/17
67,2010/04/27
68,2010/05/07
69,2010/05/17
70,2010/05/27
71,2010/06/06
72,2010/06/16
73,2010/06/25
74,2010/07/05
75,2010/07/15
76,2010/07/25
77,2010/08/04
78,2010/08/14
79,2010/08/24
80,2010/09/03
81,2010/09/13
82,2010/09/23
83,2010/10/03
84,2010/10/13
85,2010/10/22
86,2010/11/01
87,2010/11/11
88,2010/11/21
89,2010/12/01
90,2010/12/11
91,2010/12/21
92,2010/12/31
93,2011/01/10
94,2011/01/20
95,2011/01/30
96,2011/02/09
97,2011/02/18
98,2011/02/28
99,2011/03/10
100,2011/03/20
101,2011/03/30
102,2011/04/09
103,2011/04/19
104,2011/04/29
105,2011/05/09
106,2011/05/19
107,2011/05/29
108,2011/06/08
109,2011/06/17
110,2011/06/27
111,2011/07/07
112,2011/07/17
113,2011/07/27
114,2011/08/06
115,2011/08/16
116,2011/08/26
117,2011/09/05
118,2011/09/15
119,2011/09/25
120,2011/10/05
121,2011/10/14
