Cycle,Date
1,2013/03/14
2,2013/04/18
3,2013/05/23
4,2013/06/27
5,2013/08/01
6,2013/09/05
7,2013/10/10
8,2013/11/14
9,2013/12/19
10,2014/01/23
11,2014/02/27
12,2014/04/03
13,2014/05/08
14,2014/06/12
15,2014/07/17
16,2014/08/21
17,2014/09/25
18,2014/10/30
19,2014/12/04
20,2015/01/08
21,2015/02/12
22,2015/03/19
23,2015/04/23
24,2015/05/28
25,2015/07/02
26,2015/08/06
27,2015/09/10
28,2015/10/15
29,2015/11/19
30,2015/12/24
31,2016/01/28
32,2016/03/03
33,2016/04/07
34,2016/05/12
35,2016/06/16
36,2016/07/21
37,2016/08/25
38,2016/09/29
39,2016/11/03
40,2016/12/08
41,2017/01/12
42,2017/02/16
43,2017/03/23
44,2017/04/27
45,2017/06/01
46,2017/07/06
47,2017/08/10
48,2017/09/14
49,2017/10/19
50,2017/11/23
51,2017/12/28
